Variable,hmi_MFWFT511_VALUE,hmi_MFWFT521_VALUE,hmi_TCSWT1_VALUE,hmi_RRCNP10_VALUE,hmi_RCSTT499B_VALUE,hmi_RCSCT5_VALUE,hmi_RRCYT100_VALUE,hmi_MGPWT11_VALUE,hmi_RRCTP10_VALUE,hmi_MRSPT514_VALUE,hmi_MRSPT524_VALUE,hmi_MRSPT534_VALUE,hmi_MRSPT544_VALUE,hmi_RCSPV455B_VALUE,hmi_RCSPV455C_VALUE,hmi_MRSFT512_VALUE,hmi_MRSFT522_VALUE,hmi_MRSFT532_VALUE,hmi_MRSFT542_VALUE,hmi_MRSFT510_VALUE,hmi_MRSFT520_VALUE,hmi_RCSLT501_VALUE,hmi_RCSLT502_VALUE,hmi_RCSLT517A_VALUE,hmi_RCSLT527A_VALUE,hmi_AFWFT2_VALUE,hmi_AFWFT9_VALUE,hmi_RCSFT414_VALUE,hmi_RCSFT424_VALUE,hmi_RCSFT434_VALUE,hmi_RCSFT444_VALUE,hmi_RCSLT459_VALUE,hmi_RCSLT470_VALUE,hmi_RCSPT403_VALUE,hmi_RCSPT405_VALUE,hmi_RCSPT455A_VALUE,hmi_RCSPT469A_VALUE,hmi_RCSTT400A_VALUE,hmi_RCSTT413A_VALUE,hmi_RCSTT413B_VALUE,hmi_RCSTT420A_VALUE,hmi_RCSTT423B_VALUE,hmi_RCSTT423C_VALUE,hmi_RCSTT433B_VALUE,hmi_RCSTT443B_VALUE,hmi_RCSTT450B_VALUE,hmi_RCSTT451A_VALUE,hmi_RCSTT452A_VALUE,hmi_RCSTT453A_VALUE,hmi_RCSTT454_VALUE,hmi_RCSTT468A_VALUE,hmi_RCSTC502_VALUE,hmi_RCSTT1734_VALUE,hmi_RCSTT1735_VALUE,hmi_CVCFT121_VALUE,hmi_CVCFT132A_VALUE,hmi_CVCFT145A_VALUE,hmi_CVCFT161B_VALUE,hmi_RHRFT988_VALUE,hmi_HPCFT918_VALUE,hmi_HPCFT922_VALUE,hmi_CSSFT5_VALUE,hmi_CSSFT11_VALUE,hmi_ASILT950_VALUE,hmi_ASILT952_VALUE,hmi_ASILT954_VALUE,hmi_MGPWT1_VALUE,hmi_ASILT956_VALUE,hmi_CTMCT27_VALUE,hmi_CTMPT1000A_VALUE,hmi_CTMTT60_VALUE,hmi_CPSRT591_VALUE,hmi_MGPWT01_VALUE,hmi_HPCPT947_VALUE
02:00.000,0.016955,0.00506423,0.0172706,4.54707,297.024,2274.51,0.0,0.00123259,181.137,37.8876,37.8876,45.3894,45.3837,0,0,0.0,0.0,4.49517,0.0,0.0,0.0,46.1407,41.9565,13.8421,0.0,67.345,53.2861,3.00222,1.52471,1.28309,1.26667,0.0,68.5523,3.51594,3.51594,119.522,0.0,276.667,192.411,165.5,276.667,165.397,195.129,166.012,166.488,144.693,139.465,139.463,139.349,344.782,40.5523,276.667,-55.7907,-55.7907,12.1973,0.0,1.2618,0.174089,0.0,50.4722,50.4722,199.384,199.401,0.0,0.0,0.0,0.0172706,0.0,100.0,1.50249,106.06,0.322559,0.0172706,127.056
02:01.000,0.00410617,0.00624562,0.0163978,4.54027,297.002,2275.68,0.0,0.0011703,180.866,37.7004,37.7004,45.2203,45.2146,0,0,0.0,0.0,4.63676,0.0,0.0,0.0,45.7965,42.5281,12.5314,0.0,67.273,53.1418,3.08715,1.56544,1.30875,1.29263,0.0,68.576,3.56924,3.56924,119.522,0.0,276.667,191.964,165.291,276.667,165.197,194.683,165.804,166.271,145.126,139.727,139.725,139.606,344.782,40.5561,276.667,-54.7677,-54.7677,12.2281,0.0,1.2618,0.173422,0.0,50.4722,50.4722,199.381,199.398,0.0,0.0,0.0,0.0163978,0.0,100.0,1.4942,105.879,0.322433,0.0163978,127.831
02:02.000,0.00694775,0.0145519,0.0155691,4.53355,296.981,2276.83,0.0,0.00111115,180.598,37.5122,37.5123,45.0488,45.0431,0,0,0.0,0.0,4.57296,0.0,0.0,0.0,45.4327,43.048,11.1344,0.0,67.2039,53.0053,3.16662,1.60072,1.33925,1.3233,0.0,68.6,3.62481,3.62481,119.522,0.0,276.667,191.515,165.107,276.667,165.021,194.261,165.622,166.079,145.576,139.991,139.99,139.866,344.782,40.56,276.667,-53.7526,-53.7526,12.2372,0.0,1.2618,0.172603,0.0,50.4722,50.4722,199.379,199.396,0.0,0.0,0.0,0.0155691,0.0,100.0,1.48597,105.698,0.322309,0.0155691,127.834
02:03.000,0.00955955,0.0056979,0.0147822,4.52692,296.964,2277.92,0.0,0.001055,180.333,37.3233,37.3234,44.8754,44.8697,0,0,0.0,0.0,4.52068,0.0,0.0,0.0,45.057,43.45,9.66084,0.0,67.137,52.8731,3.23845,1.63012,1.37017,1.35438,0.0,68.6243,3.68018,3.68018,119.522,0.0,276.667,191.044,164.933,276.667,164.857,193.825,165.453,165.901,146.023,140.259,140.258,140.129,344.782,40.5639,276.667,-52.7355,-52.7355,12.2445,0.0,1.2618,0.172826,0.0,50.4722,50.4722,199.377,199.393,0.0,0.0,0.0,0.0147823,0.0,100.0,1.47782,105.517,0.322185,0.0147823,126.958
02:04.000,0.00203714,0.0127768,0.0140352,4.52037,296.952,2278.95,0.0,0.00100168,180.072,37.1336,37.1336,44.7004,44.6948,0,0,0.0,0.0,4.47636,0.0,0.0,0.0,44.6694,43.7719,8.11606,0.0,67.0723,52.7439,3.30228,1.65536,1.39781,1.38206,0.0,68.6487,3.735,3.735,119.522,0.0,276.667,190.568,164.768,276.667,164.7,193.374,165.293,165.732,146.466,140.53,140.529,140.395,344.782,40.5678,276.667,-51.7181,-51.7181,12.225,0.0,1.2618,0.1724,0.0,50.4722,50.4722,199.375,199.391,0.0,0.0,0.0,0.0140352,0.0,100.0,1.46974,105.336,0.322063,0.0140352,126.249
02:05.000,0.0113657,0.00777344,0.0133259,4.51392,296.939,2279.94,0.0,0.000951057,179.815,36.9426,36.9426,44.5242,44.5186,0,0,0.0,0.0,4.435,0.0,0.0,0.0,44.2684,44.0349,6.50191,0.0,67.0098,52.6167,3.36726,1.68027,1.42231,1.40644,0.0,68.6734,3.78974,3.78974,119.522,0.0,276.667,190.11,164.612,276.667,164.553,192.923,165.143,165.573,146.909,140.8,140.8,140.661,344.782,40.5718,276.667,-50.7098,-50.7098,12.2199,0.0,1.2618,0.172252,0.0,50.4722,50.4722,199.372,199.388,0.0,0.0,0.0,0.0133259,0.0,100.0,1.46173,105.154,0.321941,0.0133259,126.207
02:06.000,0.00971856,0.000454458,0.0126524,4.50752,296.922,2280.91,0.0,0.000902994,179.56,36.7501,36.7501,44.3464,44.3408,0,0,0.0,0.0,4.39174,0.0,0.0,0.0,43.8553,44.2467,4.82096,0.0,66.9493,52.4916,3.43979,1.70951,1.44426,1.42855,0.0,68.6983,3.84412,3.84412,119.522,0.0,276.667,189.695,164.465,276.667,164.415,192.495,165.0,165.422,147.351,141.074,141.074,140.93,344.782,40.5759,276.667,-49.7368,-49.7368,12.228,0.0,1.2618,0.172422,0.00104201,50.4722,50.4722,199.369,199.385,0.0,0.0,0.0,0.0126524,0.0,100.0,1.45378,104.972,0.321821,0.0126524,126.991
02:07.000,0.01002,0.00451038,0.012013,4.50118,296.903,2281.87,0.0,0.000857358,179.307,36.556,36.556,44.167,44.1614,0,0,0.0,0.0,4.34718,0.0,0.0,0.0,43.4343,44.4253,3.08082,0.0,66.8907,52.3681,3.51846,1.74411,1.46562,1.45014,0.0,68.7235,3.9001,3.9001,119.522,0.0,276.667,189.297,164.333,276.667,164.291,192.079,164.87,165.284,147.8,141.35,141.35,141.201,344.782,40.5801,276.667,-48.77,-48.77,12.2452,0.0,1.2618,0.172801,0.0,50.4722,50.4722,199.367,199.382,0.0,0.0,0.0,0.012013,0.0,100.0,1.4459,104.791,0.321702,0.012013,127.912
02:08.000,0.000528716,0.00623165,0.0114059,4.49491,296.883,2282.85,0.0,0.00081403,179.057,36.3612,36.3612,43.9859,43.9804,0,0,0.0,0.0,4.30173,0.0,0.0,0.0,43.034,44.5714,1.30694,0.0,66.8316,52.2463,3.60153,1.78159,1.48803,1.4727,0.0,68.7491,3.95842,3.95842,119.522,0.0,276.667,188.927,164.22,276.667,164.185,191.693,164.758,165.163,148.261,141.628,141.628,141.475,344.782,40.5843,276.667,-47.8178,-47.8178,12.2379,0.0,1.2618,0.17278,0.0,50.4722,50.4722,199.364,199.38,0.0,0.0,0.0,0.0114059,0.0,100.0,1.43809,104.609,0.321584,0.0114059,128.093
02:09.000,0.00295317,0.012826,0.0108295,4.4887,296.863,2283.85,0.0,0.000772891,178.81,36.1683,36.1684,43.8034,43.7979,0,0,0.0,0.0,4.25808,0.0,0.0,0.0,42.7127,44.6923,0.0,0.0,66.7688,52.127,3.68628,1.81843,1.51286,1.49756,0.0,68.7751,4.01809,4.01809,119.522,0.0,276.667,188.559,164.122,276.667,164.095,191.327,164.661,165.058,148.728,141.908,141.91,141.751,344.782,40.5886,276.667,-46.884,-46.884,12.2208,0.0,1.2618,0.171926,0.0,50.4722,50.4722,199.362,199.377,0.0,0.0,0.0,0.0108295,0.0,100.0,1.43034,104.427,0.321467,0.0108295,127.325
